,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
29747,Coppin Academy,2500 W North Avenue,Baltimore,MD,21216,Supplemental Virtual,253.0,359.0,2.0,22.0,39.313072,-76.657443,11-City: Large,16.32,Regular school,Currently operational ,High
29748,Renaissance Academy,1301 McCulloh Street,Baltimore,MD,21217,Supplemental Virtual,209.0,243.0,6.0,18.5,39.3032,-76.6279,11-City: Large,13.14,Regular school,Currently operational ,High
29749,New Era Academy,2700 Seamon Avenue,Baltimore,MD,21225,Supplemental Virtual,239.0,388.0,14.0,21.0,39.253,-76.6213,11-City: Large,18.48,Regular school,Currently operational ,High
29752,Independence School Local I,1300 W 36th Street,Baltimore,MD,21211,Supplemental Virtual,103.0,155.0,15.0,11.5,39.331226,-76.637325,11-City: Large,13.48,Regular school,Currently operational ,High
29755,The Reach! Partnership School,2555 Harford Road,Baltimore,MD,21218,Supplemental Virtual,534.0,695.0,6.0,38.0,39.317609999999995,-76.592893,11-City: Large,18.29,Regular school,Currently operational ,High
29757,Bluford Drew Jemison STEM Academy West,1500 Harlem Avenue,Baltimore,MD,21217,Supplemental Virtual,186.0,226.0,2.0,21.0,39.297247999999996,-76.641432,11-City: Large,10.76,Regular school,Currently operational ,High
29760,Baltimore Leadership School for Young Women,128 W Franklin Street,Baltimore,MD,21201,Supplemental Virtual,395.0,531.0,4.0,37.0,39.295256,-76.618091,11-City: Large,14.35,Regular school,Currently operational ,High
29762,City Neighbors High,5609 Sefton Avenue,Baltimore,MD,21214,Supplemental Virtual,262.0,424.0,30.0,28.5,39.350482,-76.554826,11-City: Large,14.88,Regular school,Currently operational ,High
29763,Green Street Academy,125 N Hilton Street,Baltimore,MD,21229,Supplemental Virtual,670.0,876.0,15.0,49.0,39.287488,-76.671585,11-City: Large,17.88,Regular school,Currently operational ,High
29765,Baltimore Design School,1500 Barclay Street,Baltimore,MD,21202,Supplemental Virtual,362.0,529.0,19.0,31.0,39.30722,-76.610928,11-City: Large,17.06,Regular school,Currently operational ,High
29767,Bard High School Early College,2801 N Dukeland Street,Baltimore,MD,21216,Supplemental Virtual,216.0,421.0,43.0,27.0,39.317956,-76.66435899999999,11-City: Large,15.59,Regular school,Currently operational ,High
29786,Catonsville High,421 Bloomsbury Ave,Baltimore,MD,21228,Supplemental Virtual,680.0,1809.0,929.0,114.66999816894501,39.259388,-76.731605,21-Suburb: Large,15.78,Regular school,Currently operational ,High
29793,Chesapeake High,1801 Turkey Point Rd,Baltimore,MD,21221,Supplemental Virtual,702.0,988.0,251.0,65.6699981689453,39.2927,-76.4194,21-Suburb: Large,15.04,Regular school,Currently operational ,High
29802,Dulaney High,255 E Padonia Road,Timonium,MD,21093,Supplemental Virtual,514.0,1930.0,930.0,111.5,39.4609,-76.612,21-Suburb: Large,17.31,Regular school,Currently operational ,High
29806,Dundalk High,1901 Delvale Ave,Baltimore,MD,21222,Supplemental Virtual,1072.0,1842.0,691.0,124.0,39.266351,-76.516297,21-Suburb: Large,14.85,Regular school,Currently operational ,High
29817,Franklin High,12000 Reisterstown Rd,Reisterstown,MD,21136,Supplemental Virtual,626.0,1457.0,429.0,85.6699981689453,39.4482,-76.8174,21-Suburb: Large,17.01,Regular school,Currently operational ,High
29832,Kenwood High,501 Stemmers Run Rd,Baltimore,MD,21221,Supplemental Virtual,1107.0,1679.0,623.0,106.16999816894501,39.3256,-76.4624,21-Suburb: Large,15.81,Regular school,Currently operational ,High
29835,Lansdowne High,3800 Hollins Ferry Rd,Baltimore,MD,21227,Supplemental Virtual,850.0,1296.0,462.0,93.3300018310547,39.2451,-76.6511,21-Suburb: Large,13.89,Regular school,Currently operational ,High
29838,Loch Raven High,1212 Cowpens Ave,Baltimore,MD,21286,Supplemental Virtual,397.0,836.0,316.0,60.869998931884794,39.405015999999996,-76.563781,21-Suburb: Large,13.73,Regular school,Currently operational ,High
29846,Milford Mill Academy,3800 Washington Ave,Baltimore,MD,21207,Supplemental Virtual,825.0,1312.0,22.0,88.5,39.356486,-76.750057,21-Suburb: Large,14.82,Regular school,Currently operational ,High
29851,Overlea High,5401 Kenwood Ave,Baltimore,MD,21206,Supplemental Virtual,784.0,1148.0,181.0,77.8300018310547,39.3495,-76.5113,21-Suburb: Large,14.75,Regular school,Currently operational ,High
29855,Parkville High,2600 Putty Hill Ave,Baltimore,MD,21234,Supplemental Virtual,1256.0,2075.0,423.0,148.0,39.388508,-76.539556,21-Suburb: Large,14.02,Regular school,Currently operational ,High
29856,Patapsco High and Center for Arts,8100 Wise Ave,Baltimore,MD,21222,Supplemental Virtual,863.0,1402.0,799.0,89.6699981689453,39.2654,-76.4891,21-Suburb: Large,15.64,Regular school,Currently operational ,High
29858,Perry Hall High,4601 Ebenezer Rd,Baltimore,MD,21236,Supplemental Virtual,803.0,2018.0,904.0,119.83000183105499,39.3926,-76.4646,21-Suburb: Large,16.84,Regular school,Currently operational ,High
29861,Pikesville High,7621 Labyrinth Rd,Baltimore,MD,21208,Supplemental Virtual,382.0,905.0,312.0,58.970001220703104,39.3774,-76.6987,21-Suburb: Large,15.35,Regular school,Currently operational ,High
29870,Randallstown High,4000 Offutt Rd,Randallstown,MD,21133,Supplemental Virtual,658.0,1097.0,16.0,72.6699981689453,39.3826,-76.7969,21-Suburb: Large,15.1,Regular school,Currently operational ,High
29887,Sparrows Point High,7400 North Point Rd,Sparrows Point,MD,21219,Supplemental Virtual,412.0,1097.0,877.0,66.52999877929689,39.238393,-76.442376,21-Suburb: Large,16.49,Regular school,Currently operational ,High
29894,Towson High,69 Cedar Ave,Towson,MD,21286,Supplemental Virtual,304.0,1677.0,1036.0,97.5999984741211,39.390627,-76.60121600000001,13-City: Small,17.18,Regular school,Currently operational ,High
29904,Woodlawn High,1801 Woodlawn Dr,Baltimore,MD,21207,Supplemental Virtual,1192.0,1680.0,48.0,114.0,39.315443,-76.73442800000001,21-Suburb: Large,14.74,Regular school,Currently operational ,High
29911,Owings Mills High,124 Tollgate Rd,Owings Mills,MD,21117,Supplemental Virtual,710.0,1120.0,59.0,87.6699981689453,39.4233,-76.795,21-Suburb: Large,12.78,Regular school,Currently operational ,High
29917,Hereford High,17301 York Rd,Parkton,MD,21120,Supplemental Virtual,93.0,1285.0,1093.0,77.0999984741211,39.599211,-76.659621,41-Rural: Fringe,16.67,Regular school,Currently operational ,High
29924,New Town High,4931 New Town Blvd,Owings Mills,MD,21117,Supplemental Virtual,639.0,1214.0,16.0,72.8300018310547,39.4032,-76.8124,21-Suburb: Large,16.67,Regular school,Currently operational ,High
29941,Calvert High,520 Fox Run Blvd,Prince Frederick,MD,20678,Supplemental Virtual,316.0,1132.0,696.0,66.4300003051758,38.553486,-76.582891,41-Rural: Fringe,17.04,Regular school,Currently operational ,High
29947,Northern High,2950 Chaneyville Rd,Owings,MD,20736,Supplemental Virtual,158.0,1483.0,1096.0,80.0,38.685351000000004,-76.65125,41-Rural: Fringe,18.54,Regular school,Currently operational ,High
29949,Patuxent High,12485 Southern Connector Boulevard,Lusby,MD,20657,Supplemental Virtual,337.0,1085.0,716.0,62.16999816894529,38.354921999999995,-76.440077,23-Suburb: Small,17.45,Regular school,Currently operational ,High
29954,Huntingtown High School,4125 N Solomons Island Rd,Huntingtown,MD,20639,Supplemental Virtual,150.0,1398.0,1060.0,79.5,38.61934,-76.609433,41-Rural: Fringe,17.58,Regular school,Currently operational ,High
29960,Colonel Richardson High School,25320 Richardson Rd,Federalsburg,MD,21632,Supplemental Virtual,288.0,522.0,328.0,37.0,38.7548,-75.8282,42-Rural: Distant,14.11,Regular school,Currently operational ,High
29965,North Caroline High School,10990 River Rd,Ridgely,MD,21660,Supplemental Virtual,569.0,1164.0,742.0,71.3300018310547,38.908583,-75.840884,41-Rural: Fringe,16.32,Regular school,Currently operational ,High
29975,Francis Scott Key High,3825 Bark Hill Road,Union Bridge,MD,21791,Supplemental Virtual,301.0,885.0,767.0,54.0,39.5927,-77.1336,41-Rural: Fringe,16.39,Regular school,Currently operational ,High
29986,South Carroll High,1300 West Old Liberty Road,Sykesville,MD,21784,Supplemental Virtual,118.0,984.0,842.0,59.0,39.4431,-77.0415,41-Rural: Fringe,16.68,Regular school,Currently operational ,High
29991,Westminster High,1225 Washington Road,Westminster,MD,21157,Supplemental Virtual,260.0,1515.0,1242.0,92.0,39.541146999999995,-76.992591,23-Suburb: Small,16.47,Regular school,Currently operational ,High
29998,Century High,355 Ronsdale Road,Sykesville,MD,21784,Supplemental Virtual,126.0,1135.0,919.0,63.0,39.4249,-76.9917,41-Rural: Fringe,18.02,Regular school,Currently operational ,High
29999,Winters Mill High,560 Gorsuch Road,Westminster,MD,21157,Supplemental Virtual,295.0,1080.0,780.0,65.6699981689453,39.5713,-76.9766,41-Rural: Fringe,16.45,Regular school,Currently operational ,High
30000,Liberty High,5855 Bartholow Road,Sykesville,MD,21784,Supplemental Virtual,59.0,993.0,815.0,60.0,39.4133,-76.9527,23-Suburb: Small,16.55,Regular school,Currently operational ,High
30004,Manchester Valley High,3300 Maple Grove Road,Manchester,MD,21102,Supplemental Virtual,254.0,1321.0,1154.0,75.8000030517578,39.653925,-76.878844,31-Town: Fringe,17.43,Regular school,Currently operational ,High
30010,Bohemia Manor High,2755 Augustine Herman Hwy,Chesapeake City,MD,21915,Supplemental Virtual,151.0,632.0,513.0,47.2999992370605,39.510999999999996,-75.8311,41-Rural: Fringe,13.36,Regular school,Currently operational ,High
