,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
29509,Chesapeake Bay Middle,4804 Mountain Rd,Pasadena,MD,21122,Supplemental Virtual,228.0,1062.0,908.0,79.7600021362305,39.1124,-76.4583,21-Suburb: Large,13.31,Regular school,Currently operational ,Middle
29510,Belle Grove Elementary,4502 Belle Grove Road,Baltimore,MD,21225,Supplemental Virtual,243.0,287.0,108.0,25.7999992370605,39.2295,-76.621431,21-Suburb: Large,11.12,Regular school,Currently operational ,Elementary
29511,Belvedere Elementary,360 Broadwater Rd,Arnold,MD,21012,Supplemental Virtual,65.0,483.0,354.0,37.0999984741211,39.0588,-76.5025,21-Suburb: Large,13.02,Regular school,Currently operational ,Elementary
29512,Benfield Elementary,365 Lynwood Dr,Severna Park,MD,21146,Supplemental Virtual,22.0,392.0,334.0,29.7000007629395,39.0853,-76.5891,21-Suburb: Large,13.2,Regular school,Currently operational ,Elementary
29513,Bodkin Elementary,8320 Ventnor Rd,Pasadena,MD,21122,Supplemental Virtual,57.0,483.0,423.0,34.7000007629395,39.1118,-76.4555,21-Suburb: Large,13.92,Regular school,Currently operational ,Elementary
29514,Broadneck Elementary,470 Shore Acres Rd,Arnold,MD,21012,Supplemental Virtual,115.0,749.0,546.0,46.4000015258789,39.0484,-76.4838,21-Suburb: Large,16.14,Regular school,Currently operational ,Elementary
29515,Brock Bridge Elementary,405 Brock Bridge Rd,Laurel,MD,20724,Supplemental Virtual,373.0,543.0,38.0,47.5999984741211,39.0883,-76.8213,41-Rural: Fringe,11.41,Regular school,Currently operational ,Elementary
29516,Brooklyn Park Elementary,200 14th Ave,Baltimore,MD,21225,Supplemental Virtual,307.0,440.0,177.0,31.100000381469698,39.222,-76.6174,21-Suburb: Large,14.15,Regular school,Currently operational ,Elementary
29517,Brooklyn Park Middle,200 Hammonds Ln,Baltimore,MD,21225,Supplemental Virtual,532.0,875.0,370.0,66.5,39.2164,-76.6198,21-Suburb: Large,13.16,Regular school,Currently operational ,Middle
29518,Cape St. Claire Elementary,931 Blue Ridge Dr,Annapolis,MD,21409,Supplemental Virtual,47.0,566.0,427.0,40.0999984741211,39.038827000000005,-76.444845,21-Suburb: Large,14.11,Regular school,Currently operational ,Elementary
29519,Central Elementary,130 Stepney Ln,Edgewater,MD,21037,Supplemental Virtual,87.0,565.0,448.0,41.9000015258789,38.9242,-76.5645,21-Suburb: Large,13.48,Regular school,Currently operational ,Elementary
29520,Central Middle,221 Central Ave E,Edgewater,MD,21037,Supplemental Virtual,221.0,1345.0,988.0,86.26000213623051,38.919428,-76.55734100000001,21-Suburb: Large,15.59,Regular school,Currently operational ,Middle
29521,South River High,201 Central Ave  E,Edgewater,MD,21037,Supplemental Virtual,274.0,1916.0,1415.0,110.76999664306601,38.922,-76.56,21-Suburb: Large,17.3,Regular school,Currently operational ,High
29523,Chesapeake High,4798 Mountain Rd,Pasadena,MD,21122,Supplemental Virtual,262.0,1412.0,1183.0,85.6500015258789,39.1107,-76.4623,21-Suburb: Large,16.49,Regular school,Currently operational ,High
29524,Corkran Middle School,7600 Quarterfield Rd,Glen Burnie,MD,21061,Supplemental Virtual,389.0,638.0,235.0,53.5,39.155009,-76.633617,21-Suburb: Large,11.93,Regular school,Currently operational ,Middle
29525,Crofton Elementary,1405 Duke Of Kent Dr,Crofton,MD,21114,Supplemental Virtual,59.0,653.0,413.0,43.7000007629395,39.0135,-76.6886,21-Suburb: Large,14.94,Regular school,Currently operational ,Elementary
29526,Crofton Woods Elementary,1750 Urby Dr,Crofton,MD,21114,Supplemental Virtual,58.0,715.0,458.0,42.7000007629395,38.9979,-76.6938,21-Suburb: Large,16.74,Regular school,Currently operational ,Elementary
29527,Davidsonville Elementary,962 Central Ave West,Davidsonville,MD,21035,Supplemental Virtual,53.0,624.0,491.0,38.2000007629395,38.919000000000004,-76.6383,41-Rural: Fringe,16.34,Regular school,Currently operational ,Elementary
29528,Deale Elementary,759 Masons Beach Rd,Deale,MD,20751,Supplemental Virtual,32.0,209.0,172.0,17.2999992370605,38.7786,-76.5518,31-Town: Fringe,12.08,Regular school,Currently operational ,Elementary
29529,Eastport Elementary,420 5th Avenue,Annapolis,MD,21403,Supplemental Virtual,225.0,283.0,39.0,26.7999992370605,38.97,-76.4832,21-Suburb: Large,10.56,Regular school,Currently operational ,Elementary
29530,Edgewater Elementary,121 Washington Rd,Edgewater,MD,21037,Supplemental Virtual,189.0,563.0,374.0,37.7999992370605,38.9379,-76.5575,21-Suburb: Large,14.89,Regular school,Currently operational ,Elementary
29531,Ferndale Early Education Center,105 Packard Ave,Glen Burnie,MD,21061,Supplemental Virtual,50.0,87.0,30.0,11.1999998092651,39.184007,-76.64251800000001,21-Suburb: Large,7.77,Regular school,Currently operational ,Prekindergarten
29532,Folger Mckinsey Elementary,175 Arundel Beach Road,Severna Park,MD,21146,Supplemental Virtual,30.0,576.0,482.0,36.4000015258789,39.08303,-76.53818100000001,21-Suburb: Large,15.82,Regular school,Currently operational ,Elementary
29533,Fort Smallwood Elementary,1720 Poplar Ridge Rd,Pasadena,MD,21122,Supplemental Virtual,62.0,464.0,404.0,30.600000381469698,39.133340999999994,-76.476833,21-Suburb: Large,15.16,Regular school,Currently operational ,Elementary
29534,Four Seasons Elementary,979 Waugh Chapel Rd,Gambrills,MD,21054,Supplemental Virtual,76.0,665.0,338.0,39.4000015258789,39.0533,-76.6944,21-Suburb: Large,16.88,Regular school,Currently operational ,Elementary
29535,George T. Cromwell Elementary,221 Olen Drive,Glen Burnie,MD,21061,Supplemental Virtual,198.0,333.0,169.0,28.2999992370605,39.184744,-76.629687,21-Suburb: Large,11.77,Regular school,Currently operational ,Elementary
29536,George Fox Middle,7922 Outing Ave,Pasadena,MD,21122,Supplemental Virtual,368.0,899.0,634.0,63.7599983215332,39.1323,-76.54899999999999,21-Suburb: Large,14.1,Regular school,Currently operational ,Middle
29537,Georgetown East Elementary,111 Dogwood Rd,Annapolis,MD,21403,Supplemental Virtual,268.0,308.0,11.0,32.7000007629395,38.9534,-76.4887,21-Suburb: Large,9.42,Regular school,Currently operational ,Elementary
